,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score
62,rbauction_10917327,-0.336529201143553,0.681167989558083,0,0.3333333333333333,0,bkt,1,,,,37.16369476316165
3479,rbauction_10436786,-0.6927197423427893,0.6847592273126142,0,0.6666666666666666,0,bkt,1,,,,29.7953914879221
1508,rbauction_10095617,0.3055924010504629,-1.2661343625245756,0,-0.6666666666666666,0,bkt,1,,,,24.47618867629232
3682,rbauction_10496253,-0.1931128399187525,0.6905872713932085,0,-0.6666666666666666,0,bkt,1,,solid tires,,30.025191069062828
3182,PW_DC0446,-0.9416753548530545,-2.0796013334502494,0,1.6666666666666667,0,6'W bucket,1,Four cylinder diesel engine,Solideal 10-16.5 tires,Hydrostatic transmission,23.055089881671773
108,rbauction_10450031,-0.43772548144110157,0.0,1,0.6666666666666666,0,bkt,1,,,,14.1669144079423
517,rbauction_10583382,-0.27586912621808235,0.311230174047838,0,0.3333333333333333,0,bkt,1,,,,45.748520568562924
6101,ironplanet_1990689,-0.575897210223161,-6.73282429300883,0,-0.3333333333333333,0,,0,,Cushion Tires,,23.299805360626287
3482,rbauction_10213320,-0.02924894348634055,0.19901357431586564,0,0.6666666666666666,0,,0,,cushion tires,,19.82051431317943
1703,rbauction_10541144,0.050598140148773396,0.17136313207483425,0,-0.3333333333333333,0,bkt,1,,solid tires,,38.647789696853756
1564,rbauction_10367729,0.0314111314391301,-0.08911109489427799,0,-0.6666666666666666,0,hyd Q/C bkt,1,,,,21.288001942906927
3135,PW_EP9171,-0.3055924010504629,-0.2582954007565783,0,-0.6666666666666666,0,"John Deere Worksite Pro T72 70""W bucket",1,John Deere turbo diesel engine,Titan 10-16.5 foam-filled tires,,24.070487930565942
5107,rbauction_11076015,-0.5545480135607281,0.15116482231594422,0,1.6666666666666667,0,bkt,1,,,,39.96195341239746
3138,PW_DD5434,-0.7342559650537872,-0.09459158331690812,0,0.6666666666666666,0,,0,Kubota four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,28.569026198307746
2270,PW_3051,0.06931134680273665,-2.062209766728341,0,-0.6666666666666666,0,Quick attach bucket,1,Kubota V2003 four cylinder diesel engine,10-16.5NHS tires,,26.18286577519192
3914,bigiron_EN9452,0.16470923337108445,-0.08276011893477649,0,-0.3333333333333333,0,"72"" Bucket",1,4 Cylinder Diesel Engine,Tires- 12-16.5,,47.746251234177635
1749,rbauction_11003825,-0.8618282712179406,0.0,1,0.6666666666666666,0,bkt,1,,,,17.3962724026538
6057,rbauction_11197997,-0.11851038872637609,0.2884249171004076,0,-0.3333333333333333,0,bkt,1,,aperture tires,,14.059368556412673
2277,PW_4977,-0.9702767251676203,0.859813345559463,0,1.3333333333333333,0,"68"" bucket, Manual bucket coupler",1,Isuzu four cylinder diesel engine,12-16.5 tires,,29.997723684132875
5820,rbauction_10589468,-0.21970666902392466,0.2767963067539414,0,-0.6666666666666666,0,bkt,1,,,,34.09091056167655
5441,bigiron_DH0534,-0.19883127441717363,0.2542993476903843,0,0.3333333333333333,0,"72"" Bucket",1,"78 Engine HP, Engine Invoice Attached, SN: CAT0246BHPAT02041",12-16.5 Wheels And Tires,Pilot Operated Hydrostatic Transmission Control,37.383941504654274
4903,rbauction_10832551,-0.8011681962924699,0.16217744836381864,0,1.3333333333333333,0,bkt,1,,aperture tires,,35.82362808355751
4404,rbauction_10838288,0.0314111314391301,0.6674242467457947,0,0.3333333333333333,0,bkt,1,,,,30.335374844227754
1217,rbauction_10616956,-0.09519019911061033,0.0,1,-0.3333333333333333,0,bkt,1,,,,21.267581845068566
4629,rbauction_10848801,-0.5545480135607281,0.0,1,0.3333333333333333,0,bkt,1,,solid tires,,40.81773531500157
3770,rbauction_11139363,-0.3055924010504629,0.0,1,-0.6666666666666666,0,bkt,1,,,,27.52214265792777
348,rbauction_10413078,0.2780313141708701,-1.1991880280129723,0,-0.3333333333333333,0,Q/C bkt,1,,,,50.73957813695036
2741,PW_J3788,-0.402470456767821,0.1183524806338149,0,-0.3333333333333333,0,"Sweepster 72""W bucket",1,"82 HP, Deutz 3.1L four cylinder diesel engine",Deestone 12-16.5 tires,Hydrostatic transmission,41.57154195515473
2112,PW_2293,-0.3055924010504629,-0.9425131286831381,0,-0.6666666666666666,0,,0,56 hp liquid cooled diesel engine,,,42.27755456826858
2183,PW_1701,-0.9849926509182225,0.7487656862029518,0,1.0,0,Bucket with grapple forks,1,Case 4-390 56hp engine,,Hydrostatic transmission weak,42.50406628054761
4475,rbauction_10497465,-0.5135733665429933,0.4769632188443598,0,0.0,0,bkt,1,,,,20.329755122639426
1777,rbauction_10252011,-0.7450057390983122,0.6471845910738042,0,0.6666666666666666,0,grapple bkt,1,,aperture tires,,16.801280100400096
4225,rbauction_11262797,-0.09519019911061033,-0.4943642265782573,0,-0.3333333333333333,0,bkt,1,,solid tires,,35.564608659647185
701,rbauction_10108159,-0.6927197423427893,0.5965337125114298,0,0.3333333333333333,0,bkt,1,,,,58.59123908385297
3793,rbauction_10101355,-0.07256623955150854,0.8931703659559806,0,-0.6666666666666666,0,bkt,1,,,,33.807501623829765
5260,rbauction_11101568,-0.7450057390983122,0.6718380317715403,0,0.3333333333333333,0,high cap 72 in. bkt,1,,solid flex tires,,23.545235621623732
2623,PW_H8941,-0.5890015084254152,-0.10890986417405983,0,-0.3333333333333333,0,"66""W bucket",1,"46 HP, Kubota liquid cooled diesel engine",10-16.5 NHS tires,Hydrostatic transmission,22.656316804973226
686,rbauction_11109396,-0.5978653096258961,-1.0580694622586142,0,0.6666666666666666,0,bkt,1,,,,24.85191122440734
2911,PW_L2691,-0.5378913790328381,-0.4229566470245438,0,1.0,0,,0,"75 HP, Deutz 2.92L four cylinder turbo diesel engine",10x16.5 tires,Hydrostatic transmission,26.727170011706495
2961,PW_DF9583,-0.21970666902392466,-1.3070731713655557,0,0.3333333333333333,0,"77""W bucket",1,Four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,32.95643465777528
2874,PW_K7291,-0.634395097195843,-0.3182574338285046,0,1.0,0,"67""W bucket",1,Kubota four cylinder diesel engine,10-16.5 NHS tires,Hydrostatic transmission,24.726464847742186
5416,rbauction_10495294,-0.27586912621808235,0.165931368832311,0,-0.3333333333333333,0,bkt,1,,solid tires,,24.9580819308873
4237,rbauction_10483712,-0.5545480135607281,0.0,1,-0.3333333333333333,0,,0,,solid tires,,31.451381768777317
3855,bigiron_BJ0576,-0.38543948468557776,-0.4794686438686849,0,0.0,0,,0,"78 HP, Diesel",,,30.09834248062168
2506,PW_F7102,-0.67277526594052,0.5685630987069509,0,0.6666666666666666,0,"72""W light material bucket, Self leveling bucket, Two pin manual bucket coupler",1,"56 HP, Case 4-390 engine",12 x 16.5 tires,,46.21106558353026
643,rbauction_10135737,0.24942994385630435,-0.2812244727075839,0,-0.6666666666666666,0,bkt,1,,solid tires,,25.51034641877921
4292,rbauction_10285722,-0.16742067226840174,-0.25498957971501063,0,-0.6666666666666666,0,bkt,1,,solid tires,,32.064508653441536
3271,PW_DE6373,-0.634395097195843,0.5562039294517773,0,0.0,1,,0,John Deere four cylinder diesel engine,14-17.5 tires,,43.56605237134987
